device,step,step_order,sessions,rate_from_previous,rate_from_all_sessions
desktop,1 Viewed products,1,44819,0.21450450364215906,0.21450450364215906
desktop,2 Checkout,2,6228,0.13895892367076462,0.029807314948646035
desktop,3 Payment,3,3770,0.6053307642903019,0.018043284739305644
desktop,4 Purchase,4,2666,0.7071618037135279,0.01275952178116415
mobile,1 Viewed products,1,30501,0.21301812340678145,0.21301812340678145
mobile,2 Checkout,2,4344,0.14242155994885414,0.03033837343297133
mobile,3 Payment,3,2674,0.6155616942909761,0.01867514055243217
mobile,4 Purchase,4,1922,0.718773373223635,0.013423193770297168
tablet,1 Viewed products,1,1700,0.2124468882779305,0.2124468882779305
tablet,2 Checkout,2,235,0.13823529411764707,0.02936765808547863
tablet,3 Payment,3,147,0.625531914893617,0.018370407398150462
tablet,4 Purchase,4,100,0.6802721088435374,0.012496875781054736
all,1 Viewed products,1,77020,0.2138678084797392,0.2138678084797392
all,2 Checkout,2,10807,0.14031420410283044,0.030008691330051174
all,3 Payment,3,6591,0.6098824835754604,0.018301775197220996
all,4 Purchase,4,4688,0.7112729479593385,0.013017557597416482
