cohort_week,week_offset,cohort_users,active_users,retention,purchase_retention
2020-11-02,1,16703,708,0.04238759504280668,0.001197389690474765
2020-11-02,2,16703,325,0.01945758247021493,0.0013171286595222416
2020-11-02,3,16703,231,0.013829850924983535,0.0013171286595222416
2020-11-02,4,16703,196,0.011734418966652697,0.0006585643297611208
2020-11-02,5,16703,175,0.010477159791654193,0.0007783032988085973
2020-11-02,6,16703,112,0.006705382266658684,0.00041908639166616775
2020-11-02,7,16703,41,0.0024546488654732684,0.000239477938094953
2020-11-02,8,16703,26,0.0015566065976171945,5.986948452373825e-05
2020-11-02,9,16703,52,0.003113213195234389,0.0
2020-11-02,10,16703,33,0.001975692989283362,0.00017960845357121476
2020-11-02,11,16703,26,0.0015566065976171945,5.986948452373825e-05
2020-11-02,12,16703,13,0.0007783032988085973,0.0001197389690474765
2020-11-09,1,14778,841,0.05690891866287725,0.0025037217485451347
2020-11-09,2,14778,352,0.023819190688861822,0.0014886994180538639
2020-11-09,3,14778,248,0.01678170253078901,0.0011503586412234402
2020-11-09,4,14778,261,0.01766138855054811,0.002097712816348626
2020-11-09,5,14778,136,0.009202869129787522,0.0002706726214643389
2020-11-09,6,14778,68,0.004601434564893761,0.0004060089321965083
2020-11-09,7,14778,35,0.0023683854378129653,0.00020300446609825416
2020-11-09,8,14778,54,0.0036540803897685747,0.0
2020-11-09,9,14778,44,0.0029773988361077278,0.0
2020-11-09,10,14778,50,0.003383407768304236,0.00020300446609825416
2020-11-09,11,14778,36,0.00243605359317905,0.0004060089321965083
2020-11-16,1,17084,892,0.05221259658159681,0.00216576914071646
2020-11-16,2,17084,475,0.02780379302271131,0.0018145633341137906
2020-11-16,3,17084,335,0.019608990868649027,0.0018730976352142356
2020-11-16,4,17084,250,0.014633575275111214,0.0010536174198080075
2020-11-16,5,17084,93,0.005443690002341372,0.00035120580660266915
2020-11-16,6,17084,54,0.0031608522594240226,5.853430110044486e-05
2020-11-16,7,17084,58,0.0033949894638258017,0.00011706860220088972
2020-11-16,8,17084,52,0.0030437836572231327,0.00011706860220088972
2020-11-16,9,17084,46,0.0026925778506204636,0.00011706860220088972
2020-11-16,10,17084,34,0.001990166237415125,0.00017560290330133457
2020-11-23,1,19280,901,0.046732365145228216,0.002178423236514523
2020-11-23,2,19280,424,0.02199170124481328,0.0019190871369294605
2020-11-23,3,19280,257,0.013329875518672199,0.0007261410788381743
2020-11-23,4,19280,116,0.006016597510373444,0.0004149377593360996
2020-11-23,5,19280,75,0.0038900414937759337,0.00025933609958506224
2020-11-23,6,19280,80,0.004149377593360996,0.0001037344398340249
2020-11-23,7,19280,77,0.003993775933609958,0.00015560165975103733
2020-11-23,8,19280,62,0.0032157676348547716,0.0004149377593360996
2020-11-23,9,19280,60,0.0031120331950207467,0.0002074688796680498
2020-11-30,1,21413,1078,0.05034324942791762,0.00354924578527063
2020-11-30,2,21413,449,0.02096857049455938,0.0014944192780086863
2020-11-30,3,21413,172,0.008032503619296688,0.000513706626815486
2020-11-30,4,21413,118,0.005510671087657031,0.00014010180731331435
2020-11-30,5,21413,126,0.005884275907159202,0.00018680240975108578
2020-11-30,6,21413,89,0.004156353616961659,9.340120487554289e-05
2020-11-30,7,21413,70,0.0032690421706440013,0.00018680240975108578
2020-11-30,8,21413,71,0.0033157427730817726,4.6700602437771445e-05
2020-12-07,1,27939,877,0.03138981352231648,0.0023622892730591647
2020-12-07,2,27939,241,0.008625935072837253,0.0006084684491213
2020-12-07,3,27939,175,0.006263645799778088,0.00035792261713017644
2020-12-07,4,27939,270,0.009663910662514765,0.00021475357027810586
2020-12-07,5,27939,144,0.005154085686674541,0.00028633809370414115
2020-12-07,6,27939,97,0.0034718493861627116,0.00021475357027810586
2020-12-07,7,27939,96,0.0034360571244496938,0.00028633809370414115
2020-12-14,1,24451,677,0.027688029119463418,0.0014723324199419246
2020-12-14,2,24451,215,0.008793096396875383,0.0004498793505378103
2020-12-14,3,24451,284,0.011615066868430739,0.0005316755960901395
2020-12-14,4,24451,209,0.008547707660218395,0.0006952680871947978
2020-12-14,5,24451,132,0.005398552206453724,0.0003271849822093166
2020-12-14,6,24451,99,0.004048914154840293,0.000286286859433152
2020-12-21,1,17199,424,0.02465259608116751,0.0008721437292865864
2020-12-21,2,17199,193,0.011221582650154079,0.0004651433222861794
2020-12-21,3,17199,164,0.009535438106866679,0.000407000407000407
2020-12-21,4,17199,96,0.005581719867434153,0.00029071457642886213
2020-12-21,5,17199,68,0.003953718239432525,0.00034885749171463456
2020-12-28,1,16455,388,0.023579459130963234,0.0005469462169553327
2020-12-28,2,16455,141,0.008568824065633546,0.00012154360376785171
2020-12-28,3,16455,95,0.005773321178972957,0.000425402613187481
2020-12-28,4,16455,74,0.004497113339410513,0.00012154360376785171
2021-01-04,1,22665,713,0.031458195455548205,0.0010589013898080742
2021-01-04,2,22665,277,0.012221486874034855,0.00044120891242003087
2021-01-04,3,22665,188,0.00829472755349658,0.0003970880211780278
2021-01-11,1,21238,763,0.03592617007251154,0.0011300499105377155
2021-01-11,2,21238,291,0.0137018551652698,0.0006591957811470006
2021-01-18,1,20452,820,0.04009387834930569,0.002689223547819284
